TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1415393111.826481,S0,S1,,,,,[ViewController: createSelf];[ViewController: initWithNibName:bundle:];[ViewController: urlConnect:method:];[ViewController: wakeUpServer];[ViewController: viewDidLoad];[AppDelegate: application:didFinishLaunchingWithOptions:];[AppDelegate: applicationDidBecomeActive:];[ViewController: viewDidAppear:];[ViewController: connection:didReceiveResponse:];[ViewController: connection:didReceiveData:];[ViewController: connectionDidFinishLoading:];,
1415393111.826481,S0,S1,,,,,,
1415393150.947734,S1,S2,UITabBarButton,Past Reports,itemClicked,,[DetailViewController: numberOfSectionsInTableView:];[DetailViewController: tableView:titleForHeaderInSection:];[DetailViewController: tableView:numberOfRowsInSection:];[DetailViewController: getUrl:];[DetailViewController: getPastReports];[DetailViewController: numberOfSectionsInTableView:];[DetailViewController: tableView:titleForHeaderInSection:];[DetailViewController: tableView:numberOfRowsInSection:];,
1415393157.688999,S2,S3,UITabBarButton,About,itemClicked,,,
1415393167.889590,S3,S4,UITextView,,,,,
1415393181.830981,S4,S5,UIButton,Help,_sendAction:withEvent:,,[AboutViewController: getHelp:];,
1415393181.830981,S4,S5,UIButton,Help,_sendAction:withEvent:,,,
1415393199.202624,S5,S6,UIButton,Delete Draft,_buttonClicked:,,[AboutViewController: mailComposeController:didFinishWithResult:error:];,
1415393199.202624,S5,S6,UIButton,Delete Draft,_buttonClicked:,,,
1415393228.150004,S6,S7,UIButton,How to Use,_sendAction:withEvent:,,[AboutViewController: tutorial:];,
1415393243.610503,S7,S8,UIButton,How to Use,_sendAction:withEvent:,,[AboutViewController: tutorial:];,
1415393256.478725,S8,S9,UITextView,,,,,
1415393271.328256,S9,S10,UITabBarButton,Report,itemClicked,,[ViewController: viewDidAppear:];,
1415393278.550918,S10,S11,UIButton,,,,[ViewController: showNoLocationAlert];[ViewController: reportRoadkill:];,
1415393278.550918,S10,S11,UIButton,,,,,
1415393286.900232,S11,S12,UITableViewCell,Ok,tableCellClicked,,,
